20240404 054600;5277.75;5277.75;5277.5;5277.5;49
20240404 054700;5277.5;5277.75;5277.25;5277.5;72
20240404 054800;5277.75;5277.75;5277.5;5277.5;24
20240404 054900;5277.75;5277.75;5277.25;5277.25;29
20240404 055000;5277.25;5277.5;5277.25;5277.5;46
20240404 055100;5277.5;5277.75;5277.25;5277.75;36
20240404 055200;5277.5;5277.75;5277.5;5277.5;32
20240404 055300;5277.5;5277.75;5277.5;5277.5;36
20240404 055400;5277.5;5277.5;5277.5;5277.5;54
20240404 055500;5277.5;5277.75;5277.5;5277.75;40
20240404 055600;5277.75;5277.75;5277.75;5277.75;28
20240404 055700;5277.5;5277.75;5277.5;5277.5;33
20240404 055800;5277.75;5277.75;5277.5;5277.5;23
20240404 055900;5277.5;5277.5;5277.5;5277.5;3
20240404 060000;5277.25;5277.25;5277;5277;154
20240404 060100;5277;5277;5275.75;5275.75;574
20240404 060200;5275.5;5275.75;5275;5275.5;311
20240404 060300;5275.5;5275.5;5274.75;5275;225
20240404 060400;5275.25;5275.25;5275;5275;52
20240404 060500;5275.25;5275.75;5275;5275.75;110
20240404 060600;5275.75;5276.25;5275.5;5276;74
20240404 060700;5276;5276.25;5276;5276;74
20240404 060800;5275.75;5275.75;5275.5;5275.75;70
20240404 060900;5276;5276;5275.25;5275.5;166
20240404 061000;5275.5;5275.75;5275.25;5275.5;79
20240404 061100;5275.75;5276.5;5275.75;5276.5;127
20240404 061200;5276.25;5276.5;5276.25;5276.5;54
20240404 061300;5276.5;5277.25;5276.5;5277;93
20240404 061400;5277;5277;5276;5276;127
20240404 061500;5276;5276.25;5276;5276.25;79
20240404 061600;5276;5276.5;5275.75;5276.5;42
20240404 061700;5276.5;5276.5;5275.75;5276.25;111
20240404 061800;5276.25;5276.25;5276.25;5276.25;42
20240404 061900;5276.25;5276.25;5275.75;5276;94
20240404 062000;5276;5276.5;5276;5276.5;35
20240404 062100;5276.25;5276.5;5276.25;5276.5;72
20240404 062200;5276.5;5276.5;5276.5;5276.5;19
20240404 062300;5276.25;5276.25;5276;5276;77
20240404 062400;5276;5276;5275.5;5275.75;65
20240404 062500;5275.5;5275.5;5274.75;5274.75;80
20240404 062600;5274.75;5275.25;5274.75;5275;142
20240404 062700;5275;5275.25;5274.75;5274.75;81
20240404 062800;5275;5275.5;5275;5275.5;56
20240404 062900;5275.5;5276.25;5275.5;5275.5;88
20240404 063000;5275.25;5275.25;5275;5275.25;75
20240404 063100;5275.25;5276.25;5275;5275.5;323
20240404 063200;5275.5;5276.5;5275.5;5276.25;84
20240404 063300;5276;5276.5;5275.75;5276.25;118
20240404 063400;5276.5;5276.5;5276.25;5276.25;57
20240404 063500;5276.5;5277;5276.5;5276.75;124
20240404 063600;5276.75;5277;5276.5;5276.75;97
20240404 063700;5277;5277;5276.5;5276.5;71
20240404 063800;5276.5;5276.5;5275.75;5275.75;146
20240404 063900;5276;5276;5275.75;5275.75;103
20240404 064000;5275.75;5275.75;5275.25;5275.75;196
20240404 064100;5275.5;5276.25;5275.5;5276;106
20240404 064200;5275.75;5276.5;5275.75;5276.5;94
20240404 064300;5276.25;5276.75;5276.25;5276.5;113
20240404 064400;5276.25;5276.25;5276.25;5276.25;62
20240404 064500;5276.25;5276.75;5276.25;5276.75;29
20240404 064600;5276.5;5277.5;5276.5;5277.5;147
