timestamp,open,high,low,close,volume
20240604 055900,5298,5298.25,5297.75,5298.25,143
20240604 060000,5298.25,5298.5,5298,5298,113
20240604 060100,5298.25,5298.25,5296.75,5297,431
20240604 060200,5297,5297,5296,5296.5,379
20240604 060300,5296.25,5296.5,5296.25,5296.25,90
20240604 060400,5296.5,5297.5,5296,5297.5,285
20240604 060500,5297.5,5298.25,5296.75,5296.75,319
20240604 060600,5296.75,5297,5296.25,5296.5,150
20240604 060700,5296.5,5297,5296.5,5296.75,147
20240604 060800,5296.75,5296.75,5296,5296.5,149
20240604 060900,5296.5,5296.5,5295.75,5296.5,193
20240604 061000,5296.5,5296.5,5296,5296,110
20240604 061100,5296,5296.25,5295.75,5296,121
20240604 061200,5296,5296,5295.5,5296,104
20240604 061300,5296.25,5296.25,5295.75,5295.75,89
20240604 061400,5296,5296.25,5295.75,5296.25,106
20240604 061500,5296.25,5296.75,5296.25,5296.5,114
20240604 061600,5296.25,5296.5,5296,5296.25,105
20240604 061700,5296,5296.25,5295.5,5295.5,190
20240604 061800,5295.5,5295.75,5295,5295,122
20240604 061900,5295,5295.25,5294.75,5294.75,319
20240604 062000,5294.75,5295.25,5294.25,5294.5,275
20240604 062100,5294.5,5294.75,5294.5,5294.5,125
20240604 062200,5294.75,5294.75,5294.25,5294.25,63
20240604 062300,5294.5,5295,5294.25,5294.5,172
20240604 062400,5294.5,5294.75,5293.75,5293.75,355
20240604 062500,5293.5,5294.25,5293.5,5293.75,212
20240604 062600,5293.75,5293.75,5293.25,5293.25,169
20240604 062700,5293.5,5293.75,5292.5,5292.5,650
20240604 062800,5292.5,5293.25,5292.25,5293,217
20240604 062900,5293,5293.25,5293,5293.25,95
20240604 063000,5293.25,5293.5,5293,5293,199
20240604 063100,5293,5293.75,5292.5,5293,271
20240604 063200,5293,5293,5291,5291.75,919
20240604 063300,5291.5,5292.25,5291.5,5292.25,261
20240604 063400,5292,5292,5290.75,5291,477
20240604 063500,5291,5291,5290,5290,397
20240604 063600,5290,5290.25,5289,5289.5,505
20240604 063700,5289.25,5289.25,5288.25,5288.25,494
20240604 063800,5288.25,5288.5,5287.5,5287.75,312
20240604 063900,5287.75,5289,5287.75,5289,251
20240604 064000,5289,5289,5288.25,5288.75,175
20240604 064100,5288.75,5288.75,5287.5,5288,179
20240604 064200,5288,5288.5,5287.5,5288,139
20240604 064300,5288.25,5288.75,5287.75,5288.25,129
20240604 064400,5288.5,5289,5288.5,5289,76
20240604 064500,5289,5289,5287.5,5287.75,356
20240604 064600,5288,5288,5287.5,5287.75,206
20240604 064700,5287.75,5287.75,5287,5287.75,257
20240604 064800,5287.75,5287.75,5287.5,5287.5,108
20240604 064900,5287.5,5287.5,5287.25,5287.5,71
20240604 065000,5287.25,5288.5,5287.25,5288.25,219
20240604 065100,5288.25,5289.5,5288,5289.25,349
20240604 065200,5289.25,5289.75,5289,5289.5,227
20240604 065300,5289.5,5289.5,5289,5289.25,58
20240604 065400,5289,5289.25,5288.75,5289,123
20240604 065500,5288.75,5289,5288.25,5288.25,193
20240604 065600,5288.5,5288.5,5287.25,5287.5,477
20240604 065700,5287.5,5288.5,5287.5,5288.25,234
20240604 065800,5288,5289,5288,5288.5,202
20240604 065900,5288.25,5288.5,5288.25,5288.25,67
20240604 070000,5288.5,5288.75,5287.75,5288.25,185
20240604 070100,5288.5,5289.5,5288.25,5288.5,552
20240604 070200,5288.5,5288.75,5287,5288.25,396
20240604 070300,5288.25,5288.5,5286,5286.75,668
20240604 070400,5286.75,5287.5,5286.5,5287.5,350
20240604 070500,5287.5,5288.75,5287.5,5288,233
20240604 070600,5288.25,5288.25,5287.75,5288,292
20240604 070700,5288,5288.25,5287.75,5287.75,213
20240604 070800,5287.75,5287.75,5286.75,5287.5,359
20240604 070900,5287.5,5287.75,5286.75,5287,211
20240604 071000,5286.75,5286.75,5286.25,5286.75,158
20240604 071100,5286.75,5287,5285.25,5285.25,329
20240604 071200,5285.5,5285.5,5283.25,5283.5,832
20240604 071300,5283.75,5284.25,5282.75,5284,619
20240604 071400,5284,5284.25,5283.25,5284,494
20240604 071500,5284,5284.75,5283.25,5284.25,347
20240604 071600,5284.25,5285.25,5282.75,5283,448
20240604 071700,5283.25,5284.25,5283,5283.75,384
20240604 071800,5283.75,5285,5283.75,5284.25,391
20240604 071900,5284.25,5285.25,5283.75,5285,592
20240604 072000,5285,5285.25,5284.25,5284.5,326
20240604 072100,5284.25,5284.25,5283,5283.25,341
20240604 072200,5283.25,5283.75,5282.5,5282.75,318
20240604 072300,5282.5,5283,5282.25,5282.5,294
20240604 072400,5282.5,5283.5,5282,5282.25,692
20240604 072500,5282,5284.5,5282,5283.5,864
20240604 072600,5283.75,5284.5,5283,5283.5,685
20240604 072700,5283.5,5284,5283,5283,387
20240604 072800,5283,5283.75,5282.75,5283,302
20240604 072900,5283,5283,5282.25,5282.5,328
20240604 073000,5282.75,5283.25,5282.5,5283.25,213
20240604 073100,5283.25,5283.25,5282.5,5283,233
20240604 073200,5282.75,5284,5282.5,5284,304
20240604 073300,5284,5286.75,5283.75,5286.5,883
20240604 073400,5286.5,5287,5285.5,5286.5,456
20240604 073500,5286.5,5287.5,5286.25,5287.25,477
20240604 073600,5287.25,5287.75,5286.25,5286.5,482
20240604 073700,5286.5,5287.5,5286.25,5287.25,365
20240604 073800,5287,5287.5,5286,5286.5,477
20240604 073900,5286.5,5287.25,5286.25,5287,341
20240604 074000,5287,5288.75,5287,5288.5,323
20240604 074100,5288.25,5289.25,5287.75,5288.5,548
20240604 074200,5288.5,5289.25,5288.25,5289,372
20240604 074300,5289,5290.75,5289,5290.25,619
20240604 074400,5290,5290.25,5289.5,5289.75,341
20240604 074500,5289.5,5290.5,5289.5,5290.5,187
20240604 074600,5290.25,5290.75,5289.75,5289.75,262
20240604 074700,5289.75,5291,5289.75,5290.75,281
20240604 074800,5290.75,5291.25,5290.75,5291,146
20240604 074900,5291,5291.75,5290.5,5291,448
20240604 075000,5291.25,5292.25,5290.75,5291.75,329
20240604 075100,5291.5,5292.75,5291.5,5292.5,304
20240604 075200,5292.25,5293,5292,5292,580
20240604 075300,5292,5292.25,5291.25,5292,309
20240604 075400,5292.25,5292.75,5291,5291.25,326
20240604 075500,5291.25,5291.75,5290.75,5291.75,238
20240604 075600,5292,5292,5290.25,5290.5,414
20240604 075700,5290.5,5291.25,5290.25,5291.25,432
20240604 075800,5291,5291,5290,5290.75,219
20240604 075900,5291,5291,5288.25,5288.25,454
20240604 080000,5288.5,5289.25,5287.5,5289,556
20240604 080100,5289.25,5289.25,5287.5,5288.75,506
20240604 080200,5288.5,5288.75,5287,5287.5,524
20240604 080300,5287.25,5288,5286.75,5286.75,427
20240604 080400,5286.75,5286.75,5282.25,5283.25,1304
20240604 080500,5283.25,5283.25,5281,5282.5,838
20240604 080600,5282.5,5284.75,5281.75,5284.5,835
20240604 080700,5284.5,5287,5284.5,5285,746
20240604 080800,5285,5285.5,5284.25,5285.5,412
20240604 080900,5285.5,5286.75,5285,5285,452
20240604 081000,5284.75,5286.5,5284.75,5285.75,335
20240604 081100,5285.5,5285.75,5283.5,5283.5,408
20240604 081200,5283.5,5284.25,5282,5283.5,1006
20240604 081300,5283.25,5283.25,5282,5283,534
20240604 081400,5283,5283.75,5281,5281.5,497
20240604 081500,5281.5,5281.75,5280.75,5281.75,749
20240604 081600,5281.75,5284,5281.5,5283.75,465
20240604 081700,5283.5,5284,5282.5,5283.25,520
20240604 081800,5283.25,5284.5,5283,5283.75,618
20240604 081900,5283.5,5285.25,5282.75,5284.75,487
20240604 082000,5285,5285,5283,5284,375
20240604 082100,5284,5285.5,5284,5284.5,341
20240604 082200,5284.5,5285.25,5284,5284.25,329
20240604 082300,5284.5,5285.25,5284,5285.25,336
20240604 082400,5285.5,5286.25,5283.5,5284.5,460
20240604 082500,5284.75,5284.75,5283.75,5284,200
20240604 082600,5283.75,5283.75,5282.5,5282.75,236
20240604 082700,5282.5,5282.5,5281.5,5282,427
20240604 082800,5282,5282.25,5281.25,5282,340
20240604 082900,5282.25,5283.5,5282,5282.5,280
20240604 083000,5282.5,5282.5,5281.25,5281.5,217
20240604 083100,5281.25,5281.75,5280.25,5281.75,340
20240604 083200,5281.5,5282.25,5281,5281.25,245
20240604 083300,5281.25,5281.25,5279.75,5280.25,708
20240604 083400,5280.5,5280.5,5278.75,5278.75,630
20240604 083500,5278.5,5278.5,5274,5275.25,1552
20240604 083600,5275,5276,5273.75,5274.5,1138
20240604 083700,5274.5,5275.5,5274,5274.5,723
20240604 083800,5274.5,5275.75,5274,5274.5,471
20240604 083900,5274.25,5275,5274.25,5274.5,471
20240604 084000,5274.25,5277,5273.75,5275.5,643
20240604 084100,5275.25,5276.25,5275.25,5276,461
20240604 084200,5276,5276.5,5274.25,5274.5,598
20240604 084300,5274.5,5275,5273.75,5274,414
20240604 084400,5274,5276,5273.75,5275.25,588
