timestamp,open,high,low,close,volume
20240701 000000,5529,5529.25,5528.75,5529.25,115
20240701 000100,5529.5,5529.5,5528.25,5528.25,211
20240701 000200,5528.25,5528.5,5526.5,5526.75,514
20240701 000300,5526.75,5528.75,5526.75,5528,334
20240701 000400,5528,5529.25,5528,5529.25,251
20240701 000500,5529,5530.25,5529,5529.25,214
20240701 000600,5529,5529.25,5528.75,5529,113
20240701 000700,5529.25,5529.5,5529,5529.5,100
20240701 000800,5529.75,5530.25,5529.5,5529.5,256
20240701 000900,5529.5,5530.25,5529.5,5530.25,74
20240701 001000,5530.25,5530.75,5530.25,5530.5,74
20240701 001100,5530.5,5531.5,5530.5,5531.25,184
20240701 001200,5531.25,5531.25,5531,5531,100
20240701 001300,5531.25,5531.25,5530.75,5530.75,66
20240701 001400,5531,5531.25,5530.5,5531,110
20240701 001500,5531,5531.25,5530.25,5530.75,70
20240701 001600,5530.75,5531.25,5530.5,5530.75,481
20240701 001700,5530.75,5531.5,5530.5,5531.5,212
20240701 001800,5531.75,5532,5531.25,5532,164
20240701 001900,5532.25,5532.5,5531.75,5531.75,204
20240701 002000,5531.75,5532.25,5531,5532.25,95
20240701 002100,5532.25,5532.5,5532,5532.5,51
20240701 002200,5532.5,5533,5532.5,5533,248
20240701 002300,5533,5533.5,5532.75,5533.25,110
20240701 002400,5533.25,5533.5,5532.75,5533,97
20240701 002500,5533,5533.25,5532.5,5532.75,132
20240701 002600,5532.75,5533,5532.5,5532.75,94
20240701 002700,5533,5533.25,5532.75,5533.25,59
20240701 002800,5533.25,5534,5533.25,5533.25,194
20240701 002900,5533.25,5534,5533.25,5534,163
20240701 003000,5533.75,5534.25,5533.75,5533.75,82
20240701 003100,5534,5534,5533.25,5533.25,84
20240701 003200,5533.25,5534,5533.25,5534,130
20240701 003300,5534,5534.25,5534,5534,78
20240701 003400,5534,5534.5,5534,5534.5,121
20240701 003500,5534.5,5534.75,5534,5534.75,89
20240701 003600,5534.5,5534.75,5534,5534,356
20240701 003700,5534.25,5534.25,5534,5534,212
20240701 003800,5534.25,5534.75,5534.25,5534.5,123
20240701 003900,5534.75,5535,5534.75,5535,184
20240701 004000,5535,5535,5534.5,5534.75,118
20240701 004100,5534.75,5535,5534.5,5534.75,101
20240701 004200,5534.75,5535,5534.75,5534.75,112
20240701 004300,5534.5,5534.75,5534.5,5534.75,70
20240701 004400,5534.75,5535,5534.75,5535,80
20240701 004500,5535,5535,5534.75,5535,45
20240701 004600,5534.75,5534.75,5534.5,5534.75,61
20240701 004700,5534.5,5534.5,5533.75,5534,121
20240701 004800,5534,5534,5533.5,5533.5,119
20240701 004900,5533.5,5533.75,5533.25,5533.5,122
20240701 005000,5533.5,5534,5533.25,5534,77
20240701 005100,5533.75,5533.75,5533.5,5533.5,69
20240701 005200,5533.5,5533.75,5533.25,5533.25,58
20240701 005300,5533,5533.5,5533,5533.25,27
20240701 005400,5533.5,5534,5533.5,5534,138
20240701 005500,5533.75,5534,5533.75,5533.75,77
20240701 005600,5534,5534,5533.5,5533.75,75
20240701 005700,5533.75,5534.25,5533.75,5534.25,51
20240701 005800,5534.25,5534.75,5534,5534.75,89
20240701 005900,5534.75,5535.25,5534.75,5535,137
20240701 010000,5535,5535.5,5535,5535.25,64
20240701 010100,5535.25,5535.5,5535.25,5535.25,83
20240701 010200,5535.5,5535.5,5534.75,5535,64
20240701 010300,5535.25,5535.25,5534.5,5534.75,85
20240701 010400,5534.5,5534.75,5534.25,5534.75,57
20240701 010500,5534.75,5535,5534.75,5534.75,8
20240701 010600,5535,5535,5534.75,5534.75,34
20240701 010700,5535,5535.75,5535,5535.75,95
20240701 010800,5535.75,5536,5535.5,5536,86
20240701 010900,5535.75,5535.75,5535.75,5535.75,24
20240701 011000,5535.75,5536.5,5535.5,5535.75,149
20240701 011100,5535.5,5535.75,5535.25,5535.5,65
20240701 011200,5535.5,5535.75,5535.5,5535.5,73
20240701 011300,5535.75,5536,5535.5,5535.75,97
20240701 011400,5535.75,5536,5535.5,5535.75,34
